station_id,time_norm,weather_idx,sports_flag,delay_minutes
13,0.958333,0.15,0.0,1.1257
13,0.041667,0.15,0.0,0.0
104,0.625,0.15,0.0,0.1535
119,0.75,0.15,0.0,4.1827
111,0.0,0.45,0.0,0.7013
64,0.875,0.15,0.0,0.0
122,0.166667,0.1436,0.0,0.0
99,0.791667,0.15,0.0,0.8939
96,0.208333,0.15,0.0,0.7985
71,0.958333,0.337,0.0,0.6462
131,0.666667,0.15,0.0,0.0
128,0.416667,0.15,0.0,1.9778
66,0.833333,0.15,0.0,0.0
80,0.958333,0.15,0.0,0.8147
109,0.541667,0.15,0.0,0.3581
127,0.458333,0.0873,0.0,0.5674
118,0.916667,0.175,0.2,0.4837
111,0.333333,0.2,0.0,0.6625
79,0.0,0.15,0.0,0.0
35,0.583333,0.1625,0.0,2.2004
121,0.583333,0.205,0.0,0.3626
80,0.083333,0.1625,0.0,1.19
86,0.458333,0.3017,0.0,1.4569
39,0.208333,0.1875,0.0,0.0
116,0.541667,0.2475,0.0,0.5052
62,0.166667,0.15,0.0,0.2378
141,0.916667,0.1625,0.0,0.6852
46,0.875,0.15,0.2,0.0
109,0.291667,0.15,0.0,0.0
127,0.75,0.14,0.0,2.6361
70,0.666667,0.15,0.0,0.0
97,0.083333,0.15,0.0,0.0
49,0.125,0.2075,0.0,0.5997
70,0.75,0.15,0.0,2.2743
38,0.458333,0.0855,0.0,0.0
104,0.708333,0.15,0.0,0.1424
18,0.708333,0.15,0.0,2.0944
115,0.791667,0.15,0.0,0.0
3,0.708333,0.15,0.0,0.8835
44,0.916667,0.2,0.0,0.0
89,0.625,0.1613,0.0,1.0283
26,0.583333,0.195,0.0,0.6282
96,0.458333,0.1036,0.0,0.0
43,0.333333,0.15,0.0,0.0
87,0.333333,0.15,0.2,0.0
59,0.041667,0.2762,0.0,1.2572
39,0.25,0.165,0.0,0.6216
23,0.333333,0.175,0.0,1.0297
135,0.041667,0.15,0.0,0.0
41,0.75,0.1382,0.0,1.998
77,0.375,0.1875,0.0,0.0
94,0.708333,0.15,0.0,0.8221
103,0.666667,0.15,0.0,2.1643
87,0.666667,0.15,0.0,0.0
20,0.041667,0.15,0.0,0.0
65,0.0,0.15,0.0,1.3974
90,0.333333,0.15,0.0,1.0934
140,0.291667,0.15,0.0,0.0435
43,0.583333,0.15,0.0,0.3282
13,0.458333,0.3734,0.0,0.0
17,0.75,0.1675,0.0,0.7745
48,0.0,0.1164,0.0,0.6431
104,0.125,0.15,0.0,0.0
134,0.875,0.4218,0.0,2.5855
126,0.875,0.15,0.0,2.1922
102,0.416667,0.1145,0.0,0.0
141,0.5,0.06,0.0,0.3755
62,0.041667,0.15,0.2,2.1612
40,0.208333,0.15,0.0,0.0
42,0.583333,0.15,0.0,0.0
59,0.833333,0.225,0.0,1.5375
12,0.416667,0.15,0.0,0.0
138,0.666667,0.25,0.0,1.6412
45,0.583333,0.15,0.0,0.0
71,0.125,0.15,0.0,0.2649
119,0.291667,0.15,0.0,2.3604
1,0.333333,0.15,0.0,0.0
105,0.166667,0.15,0.0,0.0
120,0.0,0.1875,0.0,0.0
36,0.666667,0.3875,0.0,0.6238
108,0.375,0.2037,0.0,4.0241
41,0.166667,0.1255,0.0,1.6858
17,0.875,0.15,0.0,0.0
75,0.916667,0.15,0.0,0.0
119,0.083333,0.15,0.0,0.0
68,0.916667,0.15,0.0,2.593
45,0.541667,0.1625,0.0,1.2437
85,0.833333,0.15,0.0,0.0
65,0.291667,0.1512,0.2,1.0962
28,0.458333,0.15,0.0,0.8132
73,0.916667,0.175,0.0,0.5276
139,0.291667,0.15,0.0,0.0
76,0.708333,0.25,0.0,4.6222
33,0.041667,0.15,0.0,0.5788
40,0.916667,0.285,0.0,0.3917
126,0.208333,0.15,0.0,0.3941
57,0.125,0.15,0.0,1.3912
113,0.916667,0.15,0.0,0.0
82,0.0,0.0745,0.0,0.0
105,0.208333,0.1625,0.0,0.2288
137,0.0,0.15,0.0,0.0
97,0.875,0.15,0.0,0.0
62,0.833333,0.1905,0.0,2.6589
48,0.25,0.15,0.0,0.0
